"BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"11010359","R","SE","SE corner of LENOX AV and W 123 ST","D","MN101","999,123.07260415","233,013.45429838","999,107.86364506","233,063.67106147","LENOX AV","W 123 ST","21886","POINT (-73.946275366 40.8062314283)"
"10320081","R","NE","NE corner of GRAND ST and ABRAHAM KAZAN ST","D","MN032","989,396.59008865","199,620.94726463","989,368.34605065","199,601.05393171","GRAND ST","ABRAHAM KAZAN ST","23002","POINT (-73.9814350072 40.714588592)"
"10850186","H","NE","NE corner of 2 AV and E 91 ST","D","MN085","998,328.85043931","223,841.58484688","998,297.52077757","223,843.98477647","2 AV","E 91 ST","20022","POINT (-73.9491634883 40.7810584316)"
"30120099","R","SE","SE corner of WYTHE AV and S 6 ST","O","BKN012","993,598.75917773","198,361.01507321","993,562.95708399","198,428.0841648","WYTHE AV","S 6 ST","14987","POINT (-73.9662785196 40.7111269362)"
"10810088","S","NE","NE corner of MADISON AV and E 59 ST","D","MN081","992,244.35243774","217,491.50404313","992,205.06937981","217,476.66450588","MADISON AV","E 59 ST","5141","POINT (-73.9711412042 40.7636367179)"
"31210051","S","W","W corner of 13 AVE and 53 ST","D","BKS121","985,713.51707423","169,798.55185705","985,758.46153815","169,816.87465505","13 AVE","53 ST","13127","POINT (-73.994727216 40.6327342003)"
"30210302","H","SW","SW corner of WASHINGTON ST and PLYMOUTH ST","B","BKN021","987,097.69048698","195,670.0247203","987,124.49883232","195,703.12242313","WASHINGTON ST","PLYMOUTH ST","38122","POINT (-73.9897293639 40.7037452844)"
"31730100","S","SW","SW corner of UTICA AV and CHURCH AV","D","BKN173","1,003,508.98935723","176,656.04339138","1,003,534.61660255","176,702.69782563","UTICA AV","CHURCH AV","20361","POINT (-73.9305938266 40.6515357211)"
"50210019","S","SW","SW corner of NARROWS RD S and HYLAN BLVD","D","SI021","963,003.32988314","159,765.01483755","963,062.47674649","159,843.89296064","NARROWS RD S","HYLAN BLVD","15012","POINT (-74.0765162664 40.6051688777)"
"20820043","S","E","E corner of W 230 ST and TIBBETT AV","D","BX082","1,009,294.78257565","259,724.61478671","1,009,257.84662589","259,729.77586563","W 230 ST","TIBBETT AV","9418","POINT (-73.9094332963 40.8795227289)"
"31020063","H","N","N corner of 5 AV and 82 ST","B","BKS102","977,360.55182481","166,820.74416438","977,365.24669731","166,773.16355088","5 AV","82 ST","19534","POINT (-74.02481838 40.6245581876)"
"31160006","S","NW","NW corner of MC DONALD AV and KINGS HWY","D","BKS116","991,903.89216064","159,454.85436863","991,933.76414815","159,430.70448256","MC DONALD AV","KINGS HWY","18604","POINT (-73.9724361554 40.6043397155)"
"30330182","C","NE","NE corner of FULTON ST and MARCY AV","B","BKN033","999,174.4888399","187,142.66349421","999,155.38126656","187,123.10218163","FULTON ST","MARCY AV","23117","POINT (-73.9461914217 40.6803275236)"
"10720086","S","SW","SW corner of CENTRAL PARK W and W 76 ST","D","MN072","991,351.76006281","223,007.82962464","991,391.82920839","223,012.56911646","CENTRAL PARK W","W 76 ST","2804","POINT (-73.974357542 40.778778354)"
"40110025","D","Direction TBD","Location Description T/K","O","QW011","1,006,412.72830039","224,378.53488846","1,006,440.43030406","224,364.95391756","Street Name TBD",,"96205","POINT (-73.9199721205 40.7825156429)"
"10130193","S","NE","NE corner of W BROADWAY and LEONARD ST","D","MN013","982,375.54573181","200,975.05872963","982,324.99071482","200,967.69161838","W BROADWAY","LEONARD ST","8682","POINT (-74.0067619862 40.7183066019)"
"41220018","R","E","E corner of 109 AV and 195 ST","D","QE122","1,050,305.62017323","196,667.58506113","1,050,263.09269923","196,747.52125296","109 AV","195 ST","13038","POINT (-73.761750992 40.7062372491)"
"40620031","R","NW","NW corner of METROPOLITAN AV and 72 RD","D","QW062","1,026,560.10500032","198,015.55611846","1,026,586.94254506","197,968.74781314","METROPOLITAN AV","72 RD","12466","POINT (-73.847387479 40.7100825101)"
"30810218","D","Direction TBD","Location Description T/K","O","BKN081","992,647.74369131","184,702.78057872","992,668.53383617","184,702.65655152","Street Name TBD",,"101178","POINT (-73.9697259103 40.6736391944)"
"30340049","S","NE","NE corner of STUYVESANT AV and DECATUR ST","D","BKN034","1,003,220.23402923","187,676.31301747","1,003,184.12517756","187,644.77567896","STUYVESANT AV","DECATUR ST","12941","POINT (-73.9316034422 40.681784524)"
"30320076","R","NE","NE corner of FULTON ST and FRANKLIN AV","D","BKN032","996,601.62029798","187,464.62807338","996,560.96617982","187,453.34889646","FULTON ST","FRANKLIN AV","23724","POINT (-73.9554670201 40.6812152072)"
"10430403","S","NE","NE corner of 12 AVE and W 47 ST","D","MN043","984,877.64440215","217,952.54183497","984,834.25078814","217,945.70884338","12 AVE","W 47 ST","76009","POINT (-73.9977342247 40.7649057399)"
"30820042","H","NW","NW corner of NOSTRAND AV and PACIFIC ST","D","BKN082","998,136.13035232","186,208.46851222","998,160.55287564","186,189.6342323","NOSTRAND AV","PACIFIC ST","11788","POINT (-73.9499370314 40.6777650602)"
"40810008","S","NW","NW corner of UNION TP and 187 ST","D","QE081","1,044,574.94068973","204,963.29976888","1,044,622.45437422","204,943.58589755","UNION TP","187 ST","14708","POINT (-73.7823459379 40.7290478497)"
"20910013","S","NE","NE corner of STORY AV and COLGATE AV","D","BX091","1,017,457.97031748","238,630.06150347","1,017,387.24998648","238,552.11480896","STORY AV","COLGATE AV","10533","POINT (-73.8800181703 40.8215975437)"
"10510057","H","SE","SE corner of UNION SQ E and E 16 ST","B","MN051","987,209.9163124","207,329.43086338","987,196.98556398","207,380.14270422","UNION SQ E","E 16 ST","1324","POINT (-73.9893194769 40.7357475094)"
"30650101","S","N","N corner of 9 ST and PROSPECT PARK W","D","BKS065","990,665.44647481","181,487.26568429","990,670.70565064","181,452.84580563","9 ST","PROSPECT PARK W","18349","POINT (-73.9768752043 40.6648149827)"
"10910004","S","Direction TBD","Location Description T/K","D","MN091","994,703.91805665","234,310.8116118","994,672.77905865","234,327.99012697","Street Name TBD",,"4239","POINT (-73.9622362494 40.8097986489)"
"20530051","S","S","S corner of GRAND CONCOURSE and E 184 ST","D","BX053","1,012,309.07411923","252,276.05586496","1,012,295.22276898","252,313.32088231","GRAND CONCOURSE","E 184 ST","23327","POINT (-73.8985642438 40.8590696536)"
"10620234","H","SE","SE corner of 2 AV and E 33 ST","O","MN062","990,856.06190723","210,270.29637271","990,849.87195897","210,308.08304255","2 AV","E 33 ST","3413","POINT (-73.9761598854 40.7438174828)"
"11220133","S","SW","SW corner of BROADWAY and W 174 ST","D","MN122","1,001,168.79128173","247,241.47931996","1,001,178.81193098","247,284.55961438","BROADWAY","W 174 ST","7477","POINT (-73.938849929 40.8452796176)"
"31140038","D","Direction TBD","Location Description T/K","O","BKS114","979,547.59633523","159,968.04199055","979,578.85646391","159,942.66236174","Street Name TBD",,"96186","POINT (-74.0169350519 40.6057503685)"
"20730044","H","S","S corner of JEROME AV and E MOSHOLU PKWY N","B","BX073","1,016,359.29206865","259,963.95814005","1,016,372.67524397","260,020.07384147","JEROME AV","E MOSHOLU PKWY N","9574","POINT (-73.8838855638 40.8801567769)"
"10740151","R","SW","SW corner of BROADWAY and W 100 ST","D","MN074","992,470.07508339","229,721.66757488","992,521.56776257","229,733.80239314","BROADWAY","W 100 ST","7702","POINT (-73.9703114053 40.7972050702)"
"30640062","S","S","S corner of 5 AV and 4 ST","D","BKS064","988,754.77017807","184,067.03185022","988,760.82429981","184,144.24134147","5 AV","4 ST","17770","POINT (-73.9837606079 40.6718970438)"
"20210154","D","Direction TBD","Location Description T/K","O","BX021","1,015,695.72843514","235,813.1038828","1,015,702.39291101","235,814.44867567","Street Name TBD",,"95274","POINT (-73.8863984181 40.8138722421)"
"10430107","R","SE","SE corner of 10 AV and W 46 ST","O","MN043","986,051.6391014","216,888.90977588","986,044.80446939","216,932.78796896","10 AV","W 46 ST","10947","POINT (-73.9934964281 40.7619861827)"
"11240142","S","E","E corner of SHERMAN AV and ISHAM ST","D","MN124","1,006,841.11687931","254,874.11497329","1,006,800.6369734","254,889.7724223","SHERMAN AV","ISHAM ST","17417","POINT (-73.9183225683 40.8662162237)"
"30910116","D","Direction TBD","Location Description T/K","O","BKN091","993,268.93076915","183,340.45620364","993,308.95223713","183,362.55604731","Street Name TBD",,"98869","POINT (-73.9674883373 40.6698993085)"
"30150030","H","Direction TBD","Location Description T/K","B","BKN015","1,000,116.16707465","194,937.5340593","1,000,120.40986881","194,904.87649568","Street Name TBD",,"8986","POINT (-73.9427779486 40.7017210037)"
"10740056","S","SW","SW corner of WEST END AV and W 97 ST","D","MN074","991,729.26619756","229,244.18952721","991,765.81468089","229,254.10190897","WEST END AV","W 97 ST","5378","POINT (-73.9729875298 40.7958951808)"
"41210118","S","SE","SE corner of SUTPHIN BLVD and 89 AV","D","QE121","1,037,342.28816031","195,717.18505906","1,037,295.53366065","195,743.23717231","SUTPHIN BLVD","89 AV","12629","POINT (-73.808514385 40.7037159099)"
"10210176","H","NW","NW corner of SPRING ST and MERCER ST","D","MN021","984,347.07820606","202,903.55913772","984,352.49322148","202,862.96998005","SPRING ST","MERCER ST","283","POINT (-73.9996497681 40.7236000683)"
"31720005","H","SW","SW corner of ALBANY AV and CHURCH AV","D","BKN172","1,001,116.53187181","176,520.89471155","1,001,135.84515339","176,549.18435313","ALBANY AV","CHURCH AV","10404","POINT (-73.9392161779 40.6511696473)"
"30740080","S","E","E corner of 8 AV and 59 ST","D","BKS074","981,835.67279582","171,038.7058728","981,796.02392498","171,016.60650755","8 AV","59 ST","14015","POINT (-74.0086988225 40.6361379516)"
"31320030","S","SE","SE corner of MERMAID AV and W 29 ST","D","BKS132","985,601.80371498","148,866.26662196","985,555.91273065","148,906.76227589","MERMAID AV","W 29 ST","11377","POINT (-73.9951338881 40.5752793617)"
"31510100","H","NE","NE corner of AV U and E 3 ST","B","BKS151","992,986.75187156","157,004.27003096","992,956.20304814","156,981.09652089","AV U","E 3 ST","13780","POINT (-73.9685396392 40.5976123577)"
"40610053","S","Direction TBD","Location Description T/K","D","QW061","1,022,660.52027981","205,424.73979089","1,022,637.63178622","205,459.76950126","Street Name TBD",,"12933","POINT (-73.861410972 40.7304366965)"
"10820039","H","SW","SW corner of 1 AV and E 71 ST","D","MN082","996,224.8530069","218,752.53531371","996,259.3194734","218,762.69572647","1 AV","E 71 ST","21957","POINT (-73.956769759 40.7670934269)"
"41210253","R","Direction TBD","Location Description T/K","D","QE121","1,037,288.33354381","195,530.50301771","1,037,316.32956772","195,539.69312571","Street Name TBD",,"80454","POINT (-73.8087104504 40.7032038363)"
"21110132","D","Direction TBD","Location Description T/K","O","BX111","1,020,336.33923264","250,425.86894855","1,020,381.42705404","250,438.24809377","Street Name TBD",,"100696","POINT (-73.8695550485 40.8539622868)"
"10510016","H","SE","SE corner of 5 AV and E 21 ST","B","MN051","986,902.77421014","208,893.7955168","986,895.56556314","208,942.66910672","5 AV","E 21 ST","1196","POINT (-73.9904271475 40.7400414004)"
"40610088","R","SE","SE corner of 99 ST and 63 RD","D","QW061","1,023,922.36650939","206,153.85545863","1,023,908.34225923","206,161.34297647","99 ST","63 RD","12772","POINT (-73.8568538126 40.732432368)"
"41010032","R","SW","SW corner of LIBERTY AV and 94 ST","D","QE101","1,027,193.11029598","187,109.76789072","1,027,257.85327673","187,123.49719396","LIBERTY AV","94 ST","25921","POINT (-73.8451737616 40.6801456487)"
"10720237","C","Direction TBD","Location Description T/K","P","MN072","991,264.91706064","224,406.57813947","991,222.69917179","224,429.44010645","Street Name TBD",,"48988","POINT (-73.9746696472 40.7826176175)"
"40760035","R","NE","NE corner of 149 ST and 14 AV","O","QE076","1,035,222.73498473","226,616.26597729","1,035,182.74589148","226,556.9157023","149 ST","14 AV","16466","POINT (-73.8159246783 40.7885384061)"
"20110280","D","E","E corner of ALEXANDER AV and E 141 ST","O","BX011","1,005,509.41350597","235,088.9222603","1,005,410.48555423","235,117.40383063","ALEXANDER AV","E 141 ST","95266","POINT (-73.9232000106 40.811914952)"
"11230027","S","SE","SE corner of AUDUBON AV and W 184 ST","D","MN123","1,003,347.88534872","249,065.03571221","1,003,337.69672081","249,118.61401713","AUDUBON AV","W 184 ST","6658","POINT (-73.9309687761 40.8502802966)"
"10720079","S","NW","NW corner of BROADWAY and W 77 ST","D","MN072","989,507.36447339","224,436.40091446","989,519.00158922","224,399.2526948","BROADWAY","W 77 ST","2783","POINT (-73.9810160176 40.7827006933)"
"10220101","S","NE","NE corner of WASHINGTON ST and MORTON ST","D","MN022","981,830.82602073","205,698.77336355","981,801.18926898","205,676.54703005","WASHINGTON ST","MORTON ST","133","POINT (-74.0087287293 40.73127192)"
"10110249","C","NW","NW corner of BATTERY PL and BROADWAY","B","MN011","980,286.60896482","196,069.6439998","980,316.52557164","196,020.95446463","BATTERY PL","BROADWAY","8562","POINT (-74.0142948178 40.704841716)"
"10850168","H","SE","SE corner of LEXINGTON AV and E 92 ST","D","MN085","997,340.91540732","224,593.77067846","997,336.50892006","224,630.16102563","LEXINGTON AV","E 92 ST","3087","POINT (-73.9527292998 40.7831245002)"
"30220030","S","W","W corner of ATLANTIC AV and 4 AV","D","BKN022","990,178.66365573","188,579.84237838","990,208.68229648","188,612.46075146","ATLANTIC AV","4 AV","9770","POINT (-73.9786235984 40.6842828487)"
"30310094","R","NW","NW corner of DEKALB AVENUE and FRANKLIN AV","D","BKN031","996,036.16112706","190,952.58664863","996,078.07344481","190,938.89310646","DEKALB AVENUE","FRANKLIN AV","22945","POINT (-73.9574996454 40.6907896252)"
"31710005","S","E","E corner of RUTLAND RD and E 93 ST","D","BKN171","1,004,614.08524415","180,596.82422371","1,004,573.93210922","180,597.69987813","RUTLAND RD","E 93 ST","10012","POINT (-73.9265993476 40.6623498242)"
"20110029","S","NW","NW corner of MELROSE AV and E 150 ST","D","BX011","1,007,063.12168464","236,904.43929856","1,007,075.70860173","236,878.9423023","MELROSE AV","E 150 ST","6605","POINT (-73.9175810459 40.8168941613)"
"40230055","S","NW","NW corner of VERNON BLVD and 49 AV","D","QW023","996,990.35410056","210,191.50059855","997,012.36914839","210,151.54825063","VERNON BLVD","49 AV","8896","POINT (-73.9540224571 40.7435944982)"
"41260059","H","SW","SW corner of SUTPHIN BLVD and FOCH BLVD","D","QE126","1,041,882.17114089","187,182.48198414","1,041,894.74001339","187,226.8998743","SUTPHIN BLVD","FOCH BLVD","20681","POINT (-73.7922136644 40.6802617826)"
"30930004","S","NE","NE corner of ROGERS AV and MIDWOOD ST","D","BKN093","997,207.01934965","179,770.96826388","997,186.71952148","179,733.31512396","ROGERS AV","MIDWOOD ST","18930","POINT (-73.9532990814 40.6600969697)"
"10110001","H","SE","SE corner of W THAMES ST and SOUTH END AV","P","MN011","979,453.83930489","197,285.84202671","979,438.24451982","197,337.11489005","W THAMES ST","SOUTH END AV","4254","POINT (-74.017299246 40.7081794803)"
"40940148","S","Direction TBD","Location Description T/K","D","QW094","1,031,031.09507406","194,253.83201464","1,031,018.57160042","194,290.5164663","Street Name TBD",,"27855","POINT (-73.8312867919 40.6997349725)"
"50220067","S","N","N corner of MIDLAND AV and MORELAND ST","D","SI022","957,289.72057548","148,656.69978388","957,294.80783564","148,612.61292981","MIDLAND AV","MORELAND ST","20575","POINT (-74.0970485219 40.5746632524)"
"41240016","R","Direction TBD","Location Description T/K","D","QE124","1,042,589.82162848","192,488.94479638","1,042,531.83481328","192,456.97508648","Street Name TBD",,"11745","POINT (-73.7896163704 40.6948221283)"
"30620005","R","SE","SE corner of COURT ST and CARROLL ST","D","BKS062","985,245.26046482","187,320.03715521","985,227.57349232","187,379.81557897","COURT ST","CARROLL ST","18129","POINT (-73.9964116729 40.6808268997)"
"10420273","H","NW","NW corner of AVE OF THE AMERICAS and W 23 ST","B","MN042","986,221.33922131","210,017.64202239","986,225.72766398","209,978.66112922","AVE OF THE AMERICAS","W 23 ST","1378","POINT (-73.9928858577 40.7431262573)"
"20530064","R","E","E corner of MARION AV and E 184 ST","D","BX053","1,013,168.21774215","251,965.91803379","1,013,120.10005623","251,936.34985146","MARION AV","E 184 ST","23580","POINT (-73.8954597131 40.8582156465)"
"20520106","R","S","S corner of CRESTON AV and E BURNSIDE AV","D","BX052","1,010,547.84043698","249,852.5974573","1,010,533.33324814","249,876.14727896","CRESTON AV","E BURNSIDE AV","23103","POINT (-73.904940744 40.8524234099)"
"10850195","H","NW","NW corner of YORK AV and E 89 ST","B","MN085","999,266.78294665","222,748.89805588","999,265.73734506","222,710.3485923","YORK AV","E 89 ST","3472","POINT (-73.9457792048 40.778057752)"
"31250054","R","NW","NW corner of MC DONALD AV and CHURCH AV","O","BKS125","989,864.0035239","173,561.84518346","989,921.99979898","173,479.29876064","MC DONALD AV","CHURCH AV","18705","POINT (-73.9797706425 40.643061979)"
"41420168","H","NE","NE corner of ROCKAWAY BEACH BLVD and BEACH 44 ST","D","QE142","1,046,646.7108244","155,709.47570455","1,046,619.92413256","155,671.21987554","ROCKAWAY BEACH BLVD","BEACH 44 ST","20551","POINT (-73.7753267613 40.5938430785)"
"10110038","H","SE","SE corner of SOUTH END AV and LIBERTY ST","P","MN011","979,808.11320265","198,467.24812846","979,889.20162314","198,466.26617505","SOUTH END AV","LIBERTY ST","4657","POINT (-74.0160221968 40.7114223447)"
"10420200","S","SE","SE corner of 10 AV and W 36 ST","D","MN042","984,776.69184814","214,570.67097405","984,770.44842231","214,623.60459521","10 AV","W 36 ST","1208","POINT (-73.998098925 40.7556233781)"
"21130007","R","NE","NE corner of EASTCHESTER RD and MACE AV","D","BX113","1,027,629.97687632","253,714.65370955","1,027,590.95333231","253,670.7984823","EASTCHESTER RD","MACE AV","20727","POINT (-73.8431687637 40.8629561764)"
"31030096","R","SW","SW corner of SHORE RD and 86 ST","D","BKS103","972,890.91706331","167,218.89855179","972,924.94371677","167,221.74313426","SHORE RD","86 ST","16716","POINT (-74.0409203513 40.6256464344)"
"30240190","S","NW","NW corner of VANDERBILT AV and LAFAYETTE AV","D","BKN024","992,841.54842182","189,928.04834338","992,880.24847564","189,905.17142063","VANDERBILT AV","LAFAYETTE AV","35987","POINT (-73.9690205772 40.687981181)"
"31610111","R","NW","NW corner of PITKIN AV and WATKINS ST","D","BKN161","1,009,714.09308873","183,465.43101931","1,009,753.29511006","183,444.38053647","PITKIN AV","WATKINS ST","9162","POINT (-73.9082059704 40.6702103094)"
"20520111","S","SE","SE corner of JEROME AV and E 176 ST","D","BX052","1,008,716.88281281","248,416.61476496","1,008,701.14596765","248,442.35585521","JEROME AV","E 176 ST","34316","POINT (-73.9115643737 40.8484873283)"
"41250059","R","NE","NE corner of FARMERS BLVD and 119 AV","D","QE125","1,050,318.22743148","190,204.47200313","1,050,288.98208314","190,149.65912063","FARMERS BLVD","119 AV","12844","POINT (-73.7617689176 40.6884974796)"
"10220181","H","Direction TBD","Location Description T/K","B","MN022","986,172.43085456","205,257.71683097","986,195.41052112","205,243.03511923","Street Name TBD",,"359","POINT (-73.9930637177 40.7300614498)"
"20940059","R","SE","SE corner of CASTLE HILL AV and TURNBULL AV","D","BX094","1,026,052.34682947","239,499.61455438","1,026,024.25338173","239,513.68112729","CASTLE HILL AV","TURNBULL AV","9449","POINT (-73.8489609552 40.823947726)"
"21210041","H","SW","SW corner of E GUN HILL RD and COLDEN AV","D","BX121","1,023,203.82496747","258,038.19821204","1,023,234.56112647","258,068.7818123","E GUN HILL RD","COLDEN AV","21675","POINT (-73.8591454272 40.8748436124)"
"30220059","S","SW","SW corner of CLINTON ST and STATE ST","D","BKN022","985,842.51156689","190,949.28186521","985,879.60630898","190,980.91730063","CLINTON ST","STATE ST","10163","POINT (-73.9942574769 40.6907882589)"
"11040126","S","NE","NE corner of FREDERICK DOUGLASS BOULEVARD and W 152 ST","D","MN104","1,001,296.61812581","240,688.40417156","1,001,255.60541256","240,673.84284897","FREDERICK DOUGLASS BOULEVARD","W 152 ST","8852","POINT (-73.9384045754 40.8272930815)"
"41020020","S","SW","SW corner of LIBERTY AV and 117 ST","D","QE102","1,032,488.64596473","189,145.64275597","1,032,513.65017982","189,199.4116773","LIBERTY AV","117 ST","11896","POINT (-73.8260668152 40.6857063761)"
"11010028","R","SW","SW corner of W 116 ST and LENOX AV","D","MN101","998,080.26596273","231,460.38358563","998,129.25700648","231,470.88225231","W 116 ST","LENOX AV","4473","POINT (-73.9500453991 40.8019703707)"
"30150062","C","SW","SW corner of METROPOLITAN AV and MANHATTAN AV","D","BKN015","999,159.81826556","199,481.63192646","999,183.01474148","199,521.5071748","METROPOLITAN AV","MANHATTAN AV","19618","POINT (-73.9462170008 40.7141951384)"
"10810090","H","SW","SW corner of LEXINGTON AV and E 68 ST","B","MN081","994,130.16690756","219,003.36125563","994,167.16486506","219,029.5783948","LEXINGTON AV","E 68 ST","5143","POINT (-73.9643313849 40.7677844683)"
"21220062","S","NE","NE corner of E GUN HILL RD and SEYMOUR AV","D","BX122","1,026,910.31821065","256,454.29389955","1,026,868.85996023","256,422.77001247","E GUN HILL RD","SEYMOUR AV","37244","POINT (-73.8457530931 40.8704791514)"
"10520317","C","Direction TBD","Location Description T/K","B","MN052","987,546.29096773","215,274.0032288","987,531.64344906","215,246.27692127","Street Name TBD",,"18779","POINT (-73.9881018132 40.7575532471)"
"30150022","S","SE","SE corner of GRAHAM AV and SEIGEL ST","D","BKN015","1,000,184.92743582","195,890.37500139","1,000,153.08497982","195,925.7564923","GRAHAM AV","SEIGEL ST","15939","POINT (-73.9425277066 40.7043362043)"
"41250040","S","S","S corner of LINDEN BLVD and MERRICK BLVD","D","QE125","1,045,443.62694448","191,249.89478105","1,045,458.65709814","191,300.78870814","LINDEN BLVD","MERRICK BLVD","13643","POINT (-73.7793363461 40.6914019606)"
"20940073","R","NW","NW corner of CASTLE HILL AV and LAFAYETTE AV","O","BX094","1,025,960.71217023","239,314.93283713","1,025,998.58742256","239,275.13501647","CASTLE HILL AV","LAFAYETTE AV","50990","POINT (-73.8492931943 40.823441261)"
"41430016","H","N","N corner of MOTT AV and BEACH 18 ST","D","QE143","1,053,353.6442609","159,240.92500646","1,053,376.35779814","159,193.66952355","MOTT AV","BEACH 18 ST","13600","POINT (-73.7511409543 40.6034863992)"
"20210116","S","N","N corner of SOUTHERN BLVD and BARRETTO ST","D","BX021","1,013,831.81549631","237,913.39594205","1,013,832.48970756","237,848.69758064","SOUTHERN BLVD","BARRETTO ST","20384","POINT (-73.8931227696 40.8196433884)"
"40130061","D","NW","NW corner of 26 AV and 2 ST","O","QW013","1,002,357.48017731","222,356.82600538","1,002,372.42732589","222,308.35792647","26 AV","2 ST","96219","POINT (-73.9346207471 40.7769758265)"
"11220161","S","SW","SW corner of AMSTERDAM AV and W 174 ST","D","MN122","1,002,381.80263522","246,594.12595588","1,002,417.2185749","246,621.1846288","AMSTERDAM AV","W 174 ST","8070","POINT (-73.9344674594 40.8435004154)"
"11220109","S","NW","NW corner of ST NICHOLAS AV and W 175 ST","D","MN122","1,001,773.99971698","247,380.15391138","1,001,786.62797256","247,343.18941838","ST NICHOLAS AV","W 175 ST","7251","POINT (-73.9366621452 40.8456590582)"
"10830152","H","SE","SE corner of EAST END AV and E 80 ST","B","MN083","998,797.31242889","220,136.6470468","998,789.04538506","220,175.02557896","EAST END AV","E 80 ST","3872","POINT (-73.9474799672 40.7708885943)"
"40140070","S","E","E corner of 35 AV and 38 ST","D","QW014","1,005,691.96629047","214,548.35408954","1,005,637.11895923","214,546.8708248","35 AV","38 ST","15428","POINT (-73.9226060958 40.7555361408)"
"30630081","S","E","E corner of 5 AV and BERGEN ST","D","BKS063","990,700.67343847","187,582.02875721","990,650.96487647","187,567.02649063","5 AV","BERGEN ST","12167","POINT (-73.9767423941 40.6815437126)"
"30320146","R","SW","SW corner of FRANKLIN AV and PUTNAM AV","D","BKN032","996,378.58006164","188,173.05119722","996,400.39563482","188,213.1144373","FRANKLIN AV","PUTNAM AV","22675","POINT (-73.9562699023 40.6831599756)"
"31030123","S","S","S corner of 4 AV and 100 ST","D","BKS103","974,951.88931932","162,453.4769803","974,929.12952231","162,521.78753921","4 AV","100 ST","55500","POINT (-74.0334892716 40.6125687468)"
"40620044","R","SE","SE corner of METROPOLITAN AV and 72 AV","D","QW062","1,026,409.1053023","197,916.06583188","1,026,368.72447756","197,970.08967397","METROPOLITAN AV","72 AV","14849","POINT (-73.8479327567 40.7098101541)"
"50330019","S","E","E corner of HYLAN BLVD and NELSON AV","D","SI033","943,794.83680415","136,912.13764313","943,732.57774231","136,915.67110063","HYLAN BLVD","NELSON AV","14049","POINT (-74.1455555334 40.5423754235)"
"10630157","H","SE","SE corner of LEXINGTON AV and E 54 ST","P","MN063","992,435.15947081","215,731.19227505","992,427.91998398","215,773.63641588","LEXINGTON AV","E 54 ST","3787","POINT (-73.9704545536 40.7588049398)"
"40140040","R","S","S corner of BROADWAY and 34 ST","O","QW014","1,005,593.57705157","216,409.24734938","1,005,583.3067309","216,452.93656647","BROADWAY","34 ST","15702","POINT (-73.9229553199 40.7606440534)"
"30910043","S","NW","NW corner of MONTGOMERY ST and KINGSTON AV","D","BKN091","1,000,115.60966106","181,597.21723604","1,000,151.50000922","181,562.27800147","MONTGOMERY ST","KINGSTON AV","12075","POINT (-73.9428113695 40.6651048844)"
"10210167","S","NE","NE corner of HUDSON ST and CHARLTON ST","D","MN021","982,281.43732423","204,309.28532888","982,252.74020314","204,278.69877589","HUDSON ST","CHARLTON ST","87","POINT (-74.0071024521 40.7274582267)"
"30150078","C","SE","SE corner of LORIMER ST and MONTROSE AV","D","BKN015","998,656.63521682","196,747.31554471","998,641.91018064","196,783.86796504","LORIMER ST","MONTROSE AV","17158","POINT (-73.9480379433 40.706690924)"
"41320032","S","Direction TBD","Location Description T/K","D","QE132","1,057,085.50786014","208,092.82303739","1,057,070.94688028","208,145.63588456","Street Name TBD",,"13757","POINT (-73.737173833 40.7375434147)"
"10630201","R","NW","NW corner of 1 AV and E 47 ST","D","MN063","993,199.50603923","213,335.80697396","993,203.38431232","213,301.76143838","1 AV","E 47 ST","4190","POINT (-73.9676987293 40.7522294766)"
"31240031","S","S","S corner of 16 AV and 44 ST","D","BKS124","989,099.23635264","170,123.55711254","989,088.50737149","170,169.6072173","16 AV","44 ST","19400","POINT (-73.982528856 40.6336250644)"
"40520014","H","N","N corner of SENECA AV and MYRTLE AV","B","QW052","1,010,986.18175189","194,541.69462788","1,010,974.71983255","194,493.00017147","SENECA AV","MYRTLE AV","18076","POINT (-73.9035763441 40.7006083516)"
"10520518","H","NW","NW corner of MADISON AV and E 50 ST","P","MN052","990,985.33887965","215,477.45065655","990,994.49437314","215,416.47505672","MADISON AV","E 50 ST","2637","POINT (-73.9756881321 40.7581097073)"
"31850027","S","SW","SW corner of RALPH AV and AV K","D","BKS185","1,006,957.10614865","167,437.44601497","1,006,978.39580423","167,483.27072647","RALPH AV","AV K","13765","POINT (-73.9181984219 40.6262244824)"
"10520804","H","NE","NE corner of PARK AV and E 54 ST","B","MN052","992,123.93371531","216,037.69592713","992,023.96081814","216,040.42722088","PARK AV","E 54 ST","79256","POINT (-73.9715776063 40.7596464965)"
"31610125","H",,"NE corner of PITKIN AV and CHRISTOPHER AV","D","BKN161","1,010,328.71587522","183,589.58595471","1,010,334.7047084","183,556.2831998",,"PITKIN AV","13095","POINT (-73.9059898738 40.6705492976)"
