"BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"10110083","R","NE","NE corner of CHURCH ST and WARREN ST","D","MN011","982,021.83318464","199,556.19936264","981,963.88579398","199,539.78108838","CHURCH ST","WARREN ST","5236","POINT (-74.0080375142 40.7144120908)"
"10750132","S","NE","NE corner of AMSTERDAM AV and W 104 ST","D","MN075","993,553.91707581","230,444.53456746","993,517.40566589","230,423.29248397","AMSTERDAM AV","W 104 ST","3045","POINT (-73.9663958722 40.7991880685)"
"21240026","S","SE","SE corner of KATONAH AV and E 237 ST","D","BX124","1,020,958.08175556","266,762.5262358","1,020,919.91352481","266,805.78861646","KATONAH AV","E 237 ST","7016","POINT (-73.8672180611 40.8987987512)"
"10720043","S","NW","NW corner of BROADWAY and W 73 ST","D","MN072","989,246.63139907","223,387.76193564","989,264.19894923","223,333.8611248","BROADWAY","W 73 ST","5468","POINT (-73.9819582867 40.7798226085)"
"31510134","D","SW","Median at SW corner of AV S and OCEAN PKWY","O","BKS151","993,662.72132014","158,692.27387279","993,656.9562398","158,763.25863896","AV S","OCEAN PKWY","100557","POINT (-73.9661031741 40.6022448938)"
"30720001","S","W","W corner of 5 AV and 43 ST","D","BKS072","982,422.54399739","175,731.90974097","982,487.31322481","175,727.60135064","5 AV","43 ST","17092","POINT (-74.0065855965 40.6490199284)"
"50130192","S","SW","SW corner of RICHMOND TER and BODINE ST","D","SI013","949,335.15479173","171,395.39610431","949,358.2715434","171,431.57647814","RICHMOND TER","BODINE ST","55904","POINT (-74.12579997 40.6370485049)"
"10130022","C","SW","SW corner of CENTRE ST and WORTH ST","B","MN013","983,589.19422315","199,805.64932305","983,621.64494565","199,821.08334731","CENTRE ST","WORTH ST","3550","POINT (-74.0023837041 40.7150970273)"
"41220069","R","S","S corner of LIBERTY AV and SUTPHIN BLVD","D","QE122","1,038,474.8354359","192,886.89085089","1,038,478.29704314","192,925.3589498","LIBERTY AV","SUTPHIN BLVD","43379","POINT (-73.8044524776 40.6959405651)"
"20110104","S","N","N corner of 3 AV and E 143 ST","D","BX011","1,005,613.11835106","235,666.22786422","1,005,604.30111147","235,639.30239314","3 AV","E 143 ST","6977","POINT (-73.9228235378 40.8134992442)"
"10630185","H","SE","SE corner of 2 AV and E 48 ST","B","MN063","992,750.69263239","213,770.22408414","992,743.42132148","213,806.40609838","2 AV","E 48 ST","4149","POINT (-73.9693180731 40.7534222843)"
"40620090","R","E","E corner of 71 AV and AUSTIN ST","D","QW062","1,027,395.19191281","201,684.5067858","1,027,305.29445481","201,700.03956313","71 AV","AUSTIN ST","14754","POINT (-73.8443518126 40.7201488539)"
"31040113","E","E","E corner of 11 AV and 84 ST","D","BKS104","979,577.05559389","164,393.12500389","979,529.76008481","164,390.77363063","11 AV","84 ST","77227","POINT (-74.0168320207 40.6178963257)"
"40910005","S","NE","NE corner of 101 AV and 76 ST","D","QW091","1,022,716.82331681","187,078.86539346","1,022,695.45754589","187,036.0498623","101 AV","76 ST","20470","POINT (-73.8613126258 40.6800814125)"
"20940071","S",,,"D","BX094",,,,,,,"27886","POINT (-73.8554022365 40.8298603716)"
"11230032","H","NW","NW corner of BROADWAY and W 181 ST","B","MN123","1,001,943.50593965","249,120.63993171","1,002,005.13147256","249,064.1541523","BROADWAY","W 181 ST","6671","POINT (-73.9360448978 40.8504358397)"
"50240026","R","Direction TBD","Location Description T/K","O","SI024","932,186.14709505","155,472.63004963","932,139.01900406","155,535.08254345","Street Name TBD",,"14800","POINT (-74.1874657848 40.5932597063)"
"10230173","R","SE","SE corner of 8 AV and W 14 ST","D","MN023","983,560.51678707","208,687.39697947","983,570.37208231","208,743.60782506","8 AV","W 14 ST","7246","POINT (-74.0024880614 40.7394752587)"
"11220237","S","SW","SW corner of AMSTERDAM AV and W 183 ST","D","MN122","1,003,538.20780273","248,683.34060946","1,003,566.99809948","248,707.6686448","AMSTERDAM AV","W 183 ST","6139","POINT (-73.9302819348 40.8492322431)"
"10130231","S","SE","SE corner of CANAL ST and WASHINGTON ST","D","MN013","981,488.98254432","203,335.77579297","981,483.94908981","203,405.02270171","CANAL ST","WASHINGTON ST","6327","POINT (-74.0099611804 40.7247859679)"
"40160066","H","N","N corner of 36 AV and 28 ST","D","QW016","1,003,032.76819681","215,432.80474846","1,003,043.31509173","215,365.86853063","36 AV","28 ST","35123","POINT (-73.9322018881 40.7579697804)"
"10330156","R","Direction TBD","Location Description T/K","D","MN033","990,357.27091005","201,852.63997972","990,328.41122305","201,868.70551703","Street Name TBD",,"37278","POINT (-73.9779675749 40.7207134417)"
"10220017","S","E","E corner of HUDSON ST and PERRY ST","D","MN022","982,612.42583548","207,064.80409604","982,594.82219614","207,089.92740539","HUDSON ST","PERRY ST","19434","POINT (-74.0059089367 40.7350215179)"
"30340041","S","NW","NW corner of FULTON ST and STUYVESANT AV","D","BKN034","1,003,222.99550664","186,862.09089263","1,003,260.1814559","186,832.30683146","FULTON ST","STUYVESANT AV","20354","POINT (-73.9315957782 40.6795496639)"
"31010092","S","W","W corner of 4 AV and BAY RIDGE AV","D","BKS101","977,641.78846706","170,462.48425622","977,687.0964473","170,483.46157646","4 AV","BAY RIDGE AV","33903","POINT (-74.0238088257 40.6345542098)"
"31610083","S","NW","NW corner of HEGEMAN AV and BRISTOL ST","D","BKN161","1,009,395.1652489","178,333.04036547","1,009,426.16321839","178,299.7090673","HEGEMAN AV","BRISTOL ST","11076","POINT (-73.909374795 40.6561239518)"
"10210478","R","SE","SE corner of AVE OF THE AMERICAS and W HOUSTON ST","O","MN021","983,508.94930489","204,544.75828314","983,478.69903731","204,571.2667603","AVE OF THE AMERICAS","W HOUSTON ST","42572","POINT (-74.0026736909 40.7281047306)"
"10410142","H","SW","SW corner of 10 AV and W 15 ST","B","MN041","982,046.23831956","209,895.1990258","982,071.05093397","209,902.96246171","10 AV","W 15 ST","920","POINT (-74.0079528653 40.742790127)"
"20410013","H","S","S corner of E 161 ST and CONCOURSE VLG E","D","BX041","1,006,856.60405307","239,977.81569772","1,006,827.76323147","240,026.80346063","E 161 ST","CONCOURSE VLG E","6243","POINT (-73.9183167959 40.8253302387)"
"31510039","S","NE","NE corner of AV U and E 13 ST","D","BKS151","995,875.00560948","157,427.64943355","995,858.20183732","157,402.84436505","AV U","E 13 ST","15199","POINT (-73.958138536 40.5987711306)"
"20730072","H","E","E corner of E 204 ST and PERRY AV","B","BX073","1,017,872.38713956","257,376.77400997","1,017,844.15524064","257,378.27794397","E 204 ST","PERRY AV","10243","POINT (-73.8784268626 40.8730501278)"
"30810161","S","NW","NW corner of UNDERHILL AV and PROSPECT PL","D","BKN081","993,654.06943457","186,023.50005013","993,672.58941065","185,972.8826973","UNDERHILL AV","PROSPECT PL","28801","POINT (-73.9660962367 40.6772632598)"
"11220034","S","Direction TBD","Location Description T/K","D","MN122","1,001,057.05397239","249,451.99622439","1,001,044.3172135","249,418.10676822","Street Name TBD",,"6670","POINT (-73.9392482432 40.8513470462)"
"30910080","S","SW","SW corner of FRANKLIN AV and PRESIDENT ST","D","BKN091","995,651.49194889","182,910.0463033","995,706.67654981","182,961.9930498","FRANKLIN AV","PRESIDENT ST","20902","POINT (-73.9589003515 40.6687151818)"
