unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,intersection_street_1,intersection_street_2,address_type,city,facility_type,status,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane_,y_coordinate_state_plane_,park_facility_name,park_borough,latitude,longitude,location,incident_address,street_name,cross_street_1,cross_street_2,landmark
45399198,2020-01-15T22:17:00.000,2020-01-24T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11385,,,ADDRESS,Ridgewood,,Closed,2020-01-24T00:00:00.000,05 QUEENS,QUEENS,1013992,193508,Unspecified,QUEENS,40.69776155071652,-73.89274047883977,"{'type': 'Point', 'coordinates': [-73.89274047883977, 40.69776155071652]}",62-16 COOPER AVENUE,COOPER AVENUE,62 STREET,64 STREET,
45392175,2020-01-15T22:16:00.000,2020-01-19T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,10461,,,ADDRESS,BRONX,,Closed,2020-01-19T00:00:00.000,10 BRONX,BRONX,1031504,245287,Unspecified,BRONX,40.83980496276928,-73.82922247760216,"{'type': 'Point', 'coordinates': [-73.82922247760216, 40.83980496276928]}",3003 LASALLE AVENUE,LASALLE AVENUE,CROSBY AVENUE,HOBART AVENUE,
45397234,2020-01-15T22:14:00.000,2020-01-17T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11228,,,ADDRESS,BROOKLYN,,Closed,2020-01-17T00:00:00.000,11 BROOKLYN,BROOKLYN,980891,161118,Unspecified,BROOKLYN,40.608907418400065,-74.01209754274943,"{'type': 'Point', 'coordinates': [-74.01209754274943, 40.608907418400065]}",8723 15 AVENUE,15 AVENUE,BENSON AVENUE,BATH AVENUE,
45398248,2020-01-15T22:05:00.000,2020-01-22T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11209,,,ADDRESS,BROOKLYN,,Closed,2020-01-22T00:00:00.000,10 BROOKLYN,BROOKLYN,974511,164566,Unspecified,BROOKLYN,40.618366750853085,-74.0350802822053,"{'type': 'Point', 'coordinates': [-74.0350802822053, 40.618366750853085]}",226 94 STREET,94 STREET,RIDGE BOULEVARD,3 AVENUE,
45393147,2020-01-15T22:01:00.000,2020-01-24T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11220,,,ADDRESS,BROOKLYN,,Closed,2020-01-24T00:00:00.000,10 BROOKLYN,BROOKLYN,980403,169293,Unspecified,BROOKLYN,40.631345892491005,-74.01385974830083,"{'type': 'Point', 'coordinates': [-74.01385974830083, 40.631345892491005]}",6713 8 AVENUE,8 AVENUE,67 STREET,68 STREET,
45395264,2020-01-15T22:01:00.000,2020-01-23T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11421,,,ADDRESS,Woodhaven,,Closed,2020-01-23T00:00:00.000,09 QUEENS,QUEENS,1024232,192039,Unspecified,QUEENS,40.69368915251719,-73.85582041878182,"{'type': 'Point', 'coordinates': [-73.85582041878182, 40.69368915251719]}",86-36 89 STREET,89 STREET,86 ROAD,JAMAICA AVENUE,
45392176,2020-01-15T21:55:00.000,2020-01-19T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11372,,,ADDRESS,Jackson Heights,,Closed,2020-01-19T00:00:00.000,03 QUEENS,QUEENS,1019949,212179,Unspecified,QUEENS,40.74898684226778,-73.8711585513713,"{'type': 'Point', 'coordinates': [-73.8711585513713, 40.74898684226778]}",95-15 ROOSEVELT AVENUE,ROOSEVELT AVENUE,95 STREET,WARREN STREET,
45392180,2020-01-15T21:54:00.000,2020-01-18T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,10009,,,ADDRESS,NEW YORK,,Closed,2020-01-18T00:00:00.000,03 MANHATTAN,MANHATTAN,990167,204727,Unspecified,MANHATTAN,40.72860303117704,-73.9786514638717,"{'type': 'Point', 'coordinates': [-73.9786514638717, 40.72860303117704]}",212 AVENUE B,AVENUE B,EAST 12 STREET,EAST 13 STREET,
45394247,2020-01-15T21:50:00.000,2020-01-17T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11233,,,ADDRESS,BROOKLYN,,Closed,2020-01-17T00:00:00.000,16 BROOKLYN,BROOKLYN,1007396,185435,Unspecified,BROOKLYN,40.675622735221296,-73.91655556079799,"{'type': 'Point', 'coordinates': [-73.91655556079799, 40.675622735221296]}",293 SARATOGA AVENUE,SARATOGA AVENUE,PACIFIC STREET,DEAN STREET,
45399230,2020-01-15T21:49:00.000,2020-01-18T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11214,,,ADDRESS,BROOKLYN,,Closed,2020-01-18T00:00:00.000,11 BROOKLYN,BROOKLYN,981557,160062,Unspecified,BROOKLYN,40.60600914196206,-74.00969850202085,"{'type': 'Point', 'coordinates': [-74.00969850202085, 40.60600914196206]}",1634 BATH AVENUE,BATH AVENUE,BAY 13 STREET,BAY 14 STREET,
