year,month,Complaint Type,Borough,count
2011,2,Sweeping,BROOKLYN,21
2011,2,Sweeping,MANHATTAN,10
2011,2,Sweeping,QUEENS,7
2011,3,Basket,BRONX,47
2011,3,Basket,BROOKLYN,71
2011,3,Basket,MANHATTAN,47
2011,3,Basket,QUEENS,47
2011,3,Basket,STATEN ISLAND,31
2011,3,Basket,Unspecified,1
2011,3,Collection,BRONX,196
2011,3,Collection,BROOKLYN,539
2011,3,Collection,MANHATTAN,162
2011,3,Collection,QUEENS,659
2011,3,Collection,STATEN ISLAND,352
2011,3,Sweeping,BRONX,9
2011,3,Sweeping,BROOKLYN,82
2011,3,Sweeping,MANHATTAN,35
2011,3,Sweeping,QUEENS,43
2011,3,Sweeping,STATEN ISLAND,6
2011,3,Sweeping,Unspecified,1
2011,4,Basket,BRONX,32
2011,4,Basket,BROOKLYN,105
2011,4,Basket,MANHATTAN,63
2011,4,Basket,QUEENS,68
2011,4,Basket,STATEN ISLAND,17
2011,4,Collection,BRONX,125
2011,4,Collection,BROOKLYN,456
2011,4,Collection,MANHATTAN,143
2011,4,Collection,QUEENS,518
2011,4,Collection,STATEN ISLAND,293
2011,4,Sweeping,BRONX,5
2011,4,Sweeping,BROOKLYN,38
2011,4,Sweeping,MANHATTAN,7
2011,4,Sweeping,QUEENS,14
2011,4,Sweeping,STATEN ISLAND,3
2011,5,Basket,BRONX,39
2011,5,Basket,BROOKLYN,159
2011,5,Basket,MANHATTAN,110
2011,5,Basket,QUEENS,106
2011,5,Basket,STATEN ISLAND,38
2011,5,Collection,BRONX,104
2011,5,Collection,BROOKLYN,443
2011,5,Collection,MANHATTAN,142
2011,5,Collection,QUEENS,488
2011,5,Collection,STATEN ISLAND,307
2011,5,Sweeping,BRONX,3
2011,5,Sweeping,BROOKLYN,37
2011,5,Sweeping,MANHATTAN,10
2011,5,Sweeping,QUEENS,29
2011,5,Sweeping,STATEN ISLAND,2
2011,6,Basket,BRONX,54
2011,6,Basket,BROOKLYN,197
2011,6,Basket,MANHATTAN,127
2011,6,Basket,QUEENS,133
2011,6,Basket,STATEN ISLAND,30
2011,6,Basket,Unspecified,2
2011,6,Collection,BRONX,174
2011,6,Collection,BROOKLYN,605
2011,6,Collection,MANHATTAN,132
2011,6,Collection,QUEENS,621
2011,6,Collection,STATEN ISLAND,319
2011,6,Sweeping,BRONX,3
2011,6,Sweeping,BROOKLYN,69
2011,6,Sweeping,MANHATTAN,7
2011,6,Sweeping,QUEENS,29
2011,6,Sweeping,STATEN ISLAND,1
2011,7,Basket,BRONX,54
2011,7,Basket,BROOKLYN,172
2011,7,Basket,MANHATTAN,81
2011,7,Basket,QUEENS,124
2011,7,Basket,STATEN ISLAND,23
2011,7,Collection,BRONX,174
2011,7,Collection,BROOKLYN,464
2011,7,Collection,MANHATTAN,112
2011,7,Collection,QUEENS,631
2011,7,Collection,STATEN ISLAND,281
2011,7,Sweeping,BRONX,8
2011,7,Sweeping,BROOKLYN,69
2011,7,Sweeping,MANHATTAN,9
2011,7,Sweeping,QUEENS,34
2011,7,Sweeping,STATEN ISLAND,1
2011,7,Sweeping,Unspecified,1
2011,8,Basket,BRONX,31
2011,8,Basket,BROOKLYN,135
2011,8,Basket,MANHATTAN,91
2011,8,Basket,QUEENS,109
2011,8,Basket,STATEN ISLAND,35
2011,8,Collection,BRONX,122
2011,8,Collection,BROOKLYN,424
2011,8,Collection,MANHATTAN,121
2011,8,Collection,QUEENS,483
2011,8,Collection,STATEN ISLAND,248
2011,8,Sweeping,BRONX,4
2011,8,Sweeping,BROOKLYN,50
2011,8,Sweeping,MANHATTAN,4
2011,8,Sweeping,QUEENS,33
2011,8,Sweeping,Unspecified,1
2011,9,Basket,BRONX,41
2011,9,Basket,BROOKLYN,185
2011,9,Basket,MANHATTAN,116
2011,9,Basket,QUEENS,178
2011,9,Basket,STATEN ISLAND,49
2011,9,Collection,BRONX,96
2011,9,Collection,BROOKLYN,490
2011,9,Collection,MANHATTAN,133
2011,9,Collection,QUEENS,515
2011,9,Collection,STATEN ISLAND,271
2011,9,Collection,Unspecified,1
2011,9,Sweeping,BRONX,6
2011,9,Sweeping,BROOKLYN,69
2011,9,Sweeping,MANHATTAN,6
2011,9,Sweeping,QUEENS,64
2011,9,Sweeping,STATEN ISLAND,1
2011,9,Sweeping,Unspecified,1
2011,10,Basket,BRONX,38
2011,10,Basket,BROOKLYN,121
2011,10,Basket,MANHATTAN,97
2011,10,Basket,QUEENS,126
2011,10,Basket,STATEN ISLAND,20
2011,10,Basket,Unspecified,1
2011,10,Collection,BRONX,132
2011,10,Collection,BROOKLYN,499
2011,10,Collection,MANHATTAN,139
2011,10,Collection,QUEENS,491
2011,10,Collection,STATEN ISLAND,287
2011,10,Sweeping,BRONX,8
2011,10,Sweeping,BROOKLYN,89
2011,10,Sweeping,MANHATTAN,8
2011,10,Sweeping,QUEENS,39
2011,10,Sweeping,STATEN ISLAND,2
2011,11,Basket,BRONX,30
2011,11,Basket,BROOKLYN,89
2011,11,Basket,MANHATTAN,71
2011,11,Basket,QUEENS,58
2011,11,Basket,STATEN ISLAND,23
2011,11,Collection,BRONX,198
2011,11,Collection,BROOKLYN,436
2011,11,Collection,MANHATTAN,162
2011,11,Collection,QUEENS,549
2011,11,Collection,STATEN ISLAND,390
2011,11,Sweeping,BRONX,37
2011,11,Sweeping,BROOKLYN,286
2011,11,Sweeping,MANHATTAN,30
2011,11,Sweeping,QUEENS,133
2011,12,Basket,BRONX,21
2011,12,Basket,BROOKLYN,70
2011,12,Basket,MANHATTAN,50
2011,12,Basket,QUEENS,48
2011,12,Basket,STATEN ISLAND,13
2011,12,Collection,BRONX,169
2011,12,Collection,BROOKLYN,510
2011,12,Collection,MANHATTAN,134
2011,12,Collection,QUEENS,559
2011,12,Collection,STATEN ISLAND,415
2011,12,Sweeping,BRONX,13
2011,12,Sweeping,BROOKLYN,121
2011,12,Sweeping,MANHATTAN,21
2011,12,Sweeping,QUEENS,48
2012,1,Basket,BRONX,18
2012,1,Basket,BROOKLYN,45
2012,1,Basket,MANHATTAN,62
2012,1,Basket,QUEENS,57
2012,1,Basket,STATEN ISLAND,15
2012,1,Collection,BRONX,142
2012,1,Collection,BROOKLYN,429
2012,1,Collection,MANHATTAN,157
2012,1,Collection,QUEENS,608
2012,1,Collection,STATEN ISLAND,373
2012,1,Sweeping,BRONX,3
2012,1,Sweeping,BROOKLYN,30
2012,1,Sweeping,MANHATTAN,10
2012,1,Sweeping,QUEENS,17
2012,2,Basket,BRONX,25
2012,2,Basket,BROOKLYN,65
2012,2,Basket,MANHATTAN,54
2012,2,Basket,QUEENS,50
2012,2,Basket,STATEN ISLAND,25
2012,2,Collection,BRONX,116
2012,2,Collection,BROOKLYN,347
2012,2,Collection,MANHATTAN,137
2012,2,Collection,QUEENS,435
2012,2,Collection,STATEN ISLAND,295
2012,2,Sweeping,BRONX,7
2012,2,Sweeping,BROOKLYN,25
2012,2,Sweeping,MANHATTAN,3
2012,2,Sweeping,QUEENS,19
2012,3,Basket,BRONX,15
2012,3,Basket,BROOKLYN,66
2012,3,Basket,MANHATTAN,83
2012,3,Basket,QUEENS,29
2012,3,Basket,STATEN ISLAND,19
2012,3,Collection,BRONX,99
2012,3,Collection,BROOKLYN,314
2012,3,Collection,MANHATTAN,107
2012,3,Collection,QUEENS,462
2012,3,Collection,STATEN ISLAND,338
2012,3,Sweeping,BRONX,2
2012,3,Sweeping,BROOKLYN,36
2012,3,Sweeping,MANHATTAN,6
2012,3,Sweeping,QUEENS,14
2012,4,Basket,BRONX,24
2012,4,Basket,BROOKLYN,97
2012,4,Basket,MANHATTAN,46
2012,4,Basket,QUEENS,44
2012,4,Basket,STATEN ISLAND,21
2012,4,Collection,BRONX,85
2012,4,Collection,BROOKLYN,322
2012,4,Collection,MANHATTAN,89
2012,4,Collection,QUEENS,399
2012,4,Collection,STATEN ISLAND,275
2012,4,Sweeping,BRONX,4
2012,4,Sweeping,BROOKLYN,34
2012,4,Sweeping,MANHATTAN,10
2012,4,Sweeping,QUEENS,9
2012,5,Basket,BRONX,30
2012,5,Basket,BROOKLYN,108
2012,5,Basket,MANHATTAN,79
2012,5,Basket,QUEENS,73
2012,5,Basket,STATEN ISLAND,30
2012,5,Basket,Unspecified,1
2012,5,Collection,BRONX,79
2012,5,Collection,BROOKLYN,378
2012,5,Collection,MANHATTAN,102
2012,5,Collection,QUEENS,401
2012,5,Collection,STATEN ISLAND,268
2012,5,Sweeping,BRONX,2
2012,5,Sweeping,BROOKLYN,75
2012,5,Sweeping,MANHATTAN,6
2012,5,Sweeping,QUEENS,23
2012,6,Basket,BRONX,37
2012,6,Basket,BROOKLYN,128
2012,6,Basket,MANHATTAN,105
2012,6,Basket,QUEENS,101
2012,6,Basket,STATEN ISLAND,26
2012,6,Collection,BRONX,105
2012,6,Collection,BROOKLYN,428
2012,6,Collection,MANHATTAN,132
2012,6,Collection,QUEENS,536
2012,6,Collection,STATEN ISLAND,330
2012,6,Sweeping,BRONX,9
2012,6,Sweeping,BROOKLYN,68
2012,6,Sweeping,MANHATTAN,18
2012,6,Sweeping,QUEENS,28
2012,6,Sweeping,STATEN ISLAND,2
2012,7,Basket,BRONX,60
2012,7,Basket,BROOKLYN,154
2012,7,Basket,MANHATTAN,96
2012,7,Basket,QUEENS,115
2012,7,Basket,STATEN ISLAND,33
2012,7,Collection,BRONX,87
2012,7,Collection,BROOKLYN,393
2012,7,Collection,MANHATTAN,131
2012,7,Collection,QUEENS,480
2012,7,Collection,STATEN ISLAND,268
2012,7,Sweeping,BRONX,11
2012,7,Sweeping,BROOKLYN,115
2012,7,Sweeping,MANHATTAN,11
2012,7,Sweeping,QUEENS,27
2012,8,Basket,BRONX,72
2012,8,Basket,BROOKLYN,135
2012,8,Basket,MANHATTAN,81
2012,8,Basket,QUEENS,96
2012,8,Basket,STATEN ISLAND,39
2012,8,Collection,BRONX,101
2012,8,Collection,BROOKLYN,401
2012,8,Collection,MANHATTAN,97
2012,8,Collection,QUEENS,489
2012,8,Collection,STATEN ISLAND,320
2012,8,Sweeping,BRONX,11
2012,8,Sweeping,BROOKLYN,56
2012,8,Sweeping,MANHATTAN,9
2012,8,Sweeping,QUEENS,25
2012,8,Sweeping,STATEN ISLAND,1
2012,9,Basket,BRONX,51
2012,9,Basket,BROOKLYN,98
2012,9,Basket,MANHATTAN,85
2012,9,Basket,QUEENS,84
2012,9,Basket,STATEN ISLAND,43
2012,9,Collection,BRONX,74
2012,9,Collection,BROOKLYN,386
2012,9,Collection,MANHATTAN,126
2012,9,Collection,QUEENS,474
2012,9,Collection,STATEN ISLAND,219
2012,9,Sweeping,BRONX,8
2012,9,Sweeping,BROOKLYN,47
2012,9,Sweeping,MANHATTAN,13
2012,9,Sweeping,QUEENS,19
2012,10,Basket,BRONX,46
2012,10,Basket,BROOKLYN,67
2012,10,Basket,MANHATTAN,82
2012,10,Basket,QUEENS,71
2012,10,Basket,STATEN ISLAND,28
2012,10,Collection,BRONX,84
2012,10,Collection,BROOKLYN,354
2012,10,Collection,MANHATTAN,122
2012,10,Collection,QUEENS,394
2012,10,Collection,STATEN ISLAND,205
2012,10,Sweeping,BRONX,5
2012,10,Sweeping,BROOKLYN,75
2012,10,Sweeping,MANHATTAN,15
2012,10,Sweeping,QUEENS,40
2012,10,Sweeping,STATEN ISLAND,1
2012,10,Sweeping,Unspecified,1
2012,11,Basket,BRONX,9
2012,11,Basket,BROOKLYN,45
2012,11,Basket,MANHATTAN,41
2012,11,Basket,QUEENS,27
2012,11,Basket,STATEN ISLAND,12
2012,11,Collection,BRONX,8
2012,11,Collection,BROOKLYN,15
2012,11,Collection,MANHATTAN,11
2012,11,Collection,QUEENS,19
2012,11,Collection,STATEN ISLAND,9
2012,11,Sweeping,BRONX,22
2012,11,Sweeping,BROOKLYN,103
2012,11,Sweeping,MANHATTAN,17
2012,11,Sweeping,QUEENS,30
2012,11,Sweeping,STATEN ISLAND,4
2012,11,Sweeping,Unspecified,1
2012,12,Basket,BRONX,13
2012,12,Basket,BROOKLYN,55
2012,12,Basket,MANHATTAN,35
2012,12,Basket,QUEENS,33
2012,12,Basket,STATEN ISLAND,13
2012,12,Collection,BRONX,1
2012,12,Collection,BROOKLYN,6
2012,12,Collection,MANHATTAN,11
2012,12,Collection,QUEENS,12
2012,12,Collection,STATEN ISLAND,2
2012,12,Sweeping,BRONX,4
2012,12,Sweeping,BROOKLYN,85
2012,12,Sweeping,MANHATTAN,27
2012,12,Sweeping,QUEENS,32
2012,12,Sweeping,STATEN ISLAND,2
2013,1,Basket,BRONX,17
2013,1,Basket,BROOKLYN,78
2013,1,Basket,MANHATTAN,47
2013,1,Basket,QUEENS,54
2013,1,Basket,STATEN ISLAND,30
2013,1,Collection,BRONX,125
2013,1,Collection,BROOKLYN,516
2013,1,Collection,MANHATTAN,144
2013,1,Collection,QUEENS,607
2013,1,Collection,STATEN ISLAND,424
2013,1,Sweeping,BRONX,2
2013,1,Sweeping,BROOKLYN,41
2013,1,Sweeping,MANHATTAN,7
2013,1,Sweeping,QUEENS,12
2013,2,Basket,BRONX,18
2013,2,Basket,BROOKLYN,29
2013,2,Basket,MANHATTAN,40
2013,2,Basket,QUEENS,27
2013,2,Basket,STATEN ISLAND,13
2013,2,Collection,BRONX,76
2013,2,Collection,BROOKLYN,213
2013,2,Collection,MANHATTAN,68
2013,2,Collection,QUEENS,295
2013,2,Collection,STATEN ISLAND,306
2013,2,Sweeping,BRONX,4
2013,2,Sweeping,BROOKLYN,15
2013,2,Sweeping,MANHATTAN,5
2013,2,Sweeping,QUEENS,12
2013,3,Basket,BRONX,18
2013,3,Basket,BROOKLYN,67
2013,3,Basket,MANHATTAN,52
2013,3,Basket,QUEENS,45
2013,3,Basket,STATEN ISLAND,24
2013,3,Collection,BRONX,78
2013,3,Collection,BROOKLYN,439
2013,3,Collection,MANHATTAN,122
2013,3,Collection,QUEENS,503
2013,3,Collection,STATEN ISLAND,409
2013,3,Sweeping,BRONX,2
2013,3,Sweeping,BROOKLYN,35
2013,3,Sweeping,MANHATTAN,7
2013,3,Sweeping,QUEENS,15
2013,3,Sweeping,STATEN ISLAND,1
2013,4,Basket,BRONX,20
2013,4,Basket,BROOKLYN,72
2013,4,Basket,MANHATTAN,68
2013,4,Basket,QUEENS,44
2013,4,Basket,STATEN ISLAND,25
2013,4,Collection,BRONX,73
2013,4,Collection,BROOKLYN,389
2013,4,Collection,MANHATTAN,96
2013,4,Collection,QUEENS,418
2013,4,Collection,STATEN ISLAND,393
2013,4,Sweeping,BRONX,8
2013,4,Sweeping,BROOKLYN,51
2013,4,Sweeping,MANHATTAN,15
2013,4,Sweeping,QUEENS,28
2013,4,Sweeping,STATEN ISLAND,1
2013,5,Basket,BRONX,17
2013,5,Basket,BROOKLYN,119
2013,5,Basket,MANHATTAN,70
