year_month,Complaint Type,census_tract_id,complaint_count
2010-01,Missing Collection,36005006400,2
2010-01,Missing Collection,36005006700,1
2010-01,Missing Collection,36005007000,2
2010-01,Missing Collection,36005007400,2
2010-01,Missing Collection,36005007600,1
2010-01,Missing Collection,36005007800,1
2010-01,Missing Collection,36005008300,2
2010-01,Missing Collection,36005008500,1
2010-01,Missing Collection,36005008900,1
2010-01,Missing Collection,36005009000,3
2010-01,Missing Collection,36005009301,2
2010-01,Missing Collection,36005009800,1
2010-01,Missing Collection,36005011502,2
2010-01,Missing Collection,36005011701,1
2010-01,Missing Collection,36005011800,1
2010-01,Missing Collection,36005012300,2
2010-01,Missing Collection,36005012901,1
2010-01,Missing Collection,36005013000,1
2010-01,Missing Collection,36005013100,3
2010-01,Missing Collection,36005013800,1
2010-01,Missing Collection,36005014900,2
2010-01,Missing Collection,36005015100,2
2010-01,Missing Collection,36005015200,2
2010-01,Missing Collection,36005015500,1
2010-01,Missing Collection,36005015700,2
2010-01,Missing Collection,36005016000,8
2010-01,Missing Collection,36005016100,2
2010-01,Missing Collection,36005016200,2
2010-01,Missing Collection,36005016600,3
2010-01,Missing Collection,36005016700,1
2010-01,Missing Collection,36005016900,1
2010-01,Missing Collection,36005017500,1
2010-01,Missing Collection,36005018400,6
2010-01,Missing Collection,36005018501,1
2010-01,Missing Collection,36005018502,1
2010-01,Missing Collection,36005018900,1
2010-01,Missing Collection,36005019400,3
2010-01,Missing Collection,36005019700,1
2010-01,Missing Collection,36005020000,1
2010-01,Missing Collection,36005020200,2
2010-01,Missing Collection,36005020400,3
2010-01,Missing Collection,36005020501,1
2010-01,Missing Collection,36005020601,2
2010-01,Missing Collection,36005021302,2
2010-01,Missing Collection,36005021601,1
2010-01,Missing Collection,36005021800,1
2010-01,Missing Collection,36005022701,1
2010-01,Missing Collection,36005022902,1
2010-01,Missing Collection,36005023000,2
2010-01,Missing Collection,36005023200,2
2010-01,Missing Collection,36005023800,3
2010-01,Missing Collection,36005024000,1
2010-01,Missing Collection,36005024501,1
2010-01,Missing Collection,36005025400,3
2010-01,Missing Collection,36005025600,1
2010-01,Missing Collection,36005026400,1
2010-01,Missing Collection,36005026500,2
2010-01,Missing Collection,36005026701,1
2010-01,Missing Collection,36005026900,2
2010-01,Missing Collection,36005027401,6
2010-01,Missing Collection,36005027402,2
2010-01,Missing Collection,36005028800,3
2010-01,Missing Collection,36005029302,2
2010-01,Missing Collection,36005029500,1
2010-01,Missing Collection,36005029600,3
2010-01,Missing Collection,36005031200,1
2010-01,Missing Collection,36005031600,7
2010-01,Missing Collection,36005032600,3
2010-01,Missing Collection,36005032800,2
2010-01,Missing Collection,36005033201,2
2010-01,Missing Collection,36005033500,5
2010-01,Missing Collection,36005033700,1
2010-01,Missing Collection,36005034300,3
2010-01,Missing Collection,36005034500,3
2010-01,Missing Collection,36005034800,1
2010-01,Missing Collection,36005035100,1
2010-01,Missing Collection,36005035800,5
2010-01,Missing Collection,36005036000,2
2010-01,Missing Collection,36005036400,1
2010-01,Missing Collection,36005036800,1
2010-01,Missing Collection,36005037000,1
2010-01,Missing Collection,36005037300,3
2010-01,Missing Collection,36005037504,3
2010-01,Missing Collection,36005037800,1
2010-01,Missing Collection,36005038000,1
2010-01,Missing Collection,36005038500,1
2010-01,Missing Collection,36005038600,5
2010-01,Missing Collection,36005038700,1
2010-01,Missing Collection,36005038800,1
2010-01,Missing Collection,36005039400,1
2010-01,Missing Collection,36005039500,3
2010-01,Missing Collection,36005039600,1
2010-01,Missing Collection,36005040100,1
2010-01,Missing Collection,36005040400,1
2010-01,Missing Collection,36005040501,1
2010-01,Missing Collection,36005040600,2
2010-01,Missing Collection,36005041300,1
2010-01,Missing Collection,36005041400,5
2010-01,Missing Collection,36005041800,1
2010-01,Missing Collection,36005042100,1
2010-01,Missing Collection,36005042200,1
2010-01,Missing Collection,36005042600,3
2010-01,Missing Collection,36005043000,1
2010-01,Missing Collection,36005043400,4
2010-01,Missing Collection,36005044400,1
2010-01,Missing Collection,36005044800,1
2010-01,Missing Collection,36005045101,2
2010-01,Missing Collection,36005045102,1
2010-01,Missing Collection,36005045600,3
2010-01,Missing Collection,36005046000,2
2010-01,Missing Collection,36005048401,1
2010-01,Missing Collection,36005051601,1
2010-01,Missing Collection,36047000100,1
2010-01,Missing Collection,36047000301,1
2010-01,Missing Collection,36047000502,1
2010-01,Missing Collection,36047000900,3
2010-01,Missing Collection,36047001100,1
2010-01,Missing Collection,36047002100,1
2010-01,Missing Collection,36047003300,2
2010-01,Missing Collection,36047003500,1
2010-01,Missing Collection,36047003900,4
2010-01,Missing Collection,36047004100,2
2010-01,Missing Collection,36047004300,5
2010-01,Missing Collection,36047004400,1
2010-01,Missing Collection,36047004500,7
2010-01,Missing Collection,36047004900,1
2010-01,Missing Collection,36047005100,1
2010-01,Missing Collection,36047005201,1
2010-01,Missing Collection,36047005202,2
2010-01,Missing Collection,36047005301,2
2010-01,Missing Collection,36047005400,2
2010-01,Missing Collection,36047005800,3
2010-01,Missing Collection,36047005900,1
2010-01,Missing Collection,36047006000,1
2010-01,Missing Collection,36047006200,1
2010-01,Missing Collection,36047006500,3
2010-01,Missing Collection,36047006700,2
2010-01,Missing Collection,36047006901,3
2010-01,Missing Collection,36047006902,3
2010-01,Missing Collection,36047007500,1
2010-01,Missing Collection,36047007600,2
2010-01,Missing Collection,36047007700,2
2010-01,Missing Collection,36047008000,1
2010-01,Missing Collection,36047009600,1
2010-01,Missing Collection,36047010000,1
2010-01,Missing Collection,36047011000,1
2010-01,Missing Collection,36047011400,2
2010-01,Missing Collection,36047011800,1
2010-01,Missing Collection,36047012700,1
2010-01,Missing Collection,36047012901,1
2010-01,Missing Collection,36047012902,2
2010-01,Missing Collection,36047013100,5
2010-01,Missing Collection,36047013300,4
2010-01,Missing Collection,36047013400,1
